City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,sorland,75,NO,1542003600,76,67.67,12.69,50.0,17.22
88,satkhira,20,BD,1542004200,51,22.72,89.08,84.2,9.17
89,kizukuri,75,JP,1542002880,93,40.81,140.39,46.4,5.82
90,castro,0,CL,1542006202,93,-42.48,-73.76,42.4,1.74
91,kroya,20,ID,1542006203,100,-6.5,108.06,81.24,2.19
92,san alejo,0,SV,1542006203,100,13.43,-87.96,79.17,3.53
93,wladyslawowo,75,PL,1542004200,93,54.79,18.4,44.6,3.36
94,east london,40,ZA,1542004260,69,-33.02,27.91,75.2,18.34
95,bandarbeyla,0,SO,1542006204,100,9.49,50.81,81.73,12.88
96,nikolskoye,90,RU,1542002400,74,59.7,30.79,33.8,8.95
97,hay river,40,CA,1542002400,78,60.82,-115.79,14.0,11.41
98,la asuncion,88,EC,1542006205,99,-1.64,-78.74,49.02,2.59
99,cherskiy,0,RU,1542006205,70,68.75,161.3,-5.21,6.4
100,maputo,40,MZ,1542002400,61,-25.97,32.57,77.0,1.12
101,katsuura,75,JP,1542002400,82,33.93,134.5,57.2,3.36
102,cidreira,8,BR,1542006153,96,-30.17,-50.22,68.77,15.39
103,wanning,75,AT,1542003600,93,48.64,13.53,46.4,6.93
104,laguna,0,MX,1542006207,76,27.52,-110.01,60.49,2.48
105,vostok,80,RU,1542006200,78,46.45,135.83,29.53,2.86
106,bahia blanca,92,AR,1542006207,99,-38.72,-62.27,60.76,15.9
107,paita,12,PE,1542006207,89,-5.09,-81.11,67.02,7.11
108,manono,20,CD,1542006208,81,-7.3,27.4,77.64,4.38
109,thompson,90,CA,1542002400,77,55.74,-97.86,1.4,4.7
110,cape town,40,ZA,1542005280,72,-33.93,18.42,64.4,5.82
111,provideniya,75,RU,1542000600,63,64.42,-173.23,28.4,15.66
112,syracuse,90,US,1542002160,81,43.05,-76.15,33.08,3.36
113,clyde river,1,CA,1542002400,83,70.47,-68.59,-11.21,5.82
114,nema,0,RU,1542006209,81,57.51,50.5,10.72,9.57
115,port arthur,90,US,1542005580,77,29.9,-93.93,64.4,10.29
116,lebu,20,ET,1542006000,45,8.96,38.73,68.0,18.34
117,tuktoyaktuk,90,CA,1542002400,71,69.44,-133.03,8.6,10.29
118,hamilton,90,BM,1542002100,88,32.3,-64.78,69.8,14.99
119,cabo san lucas,75,MX,1542001440,88,22.89,-109.91,73.4,5.82
120,weinan,20,CN,1542002400,58,34.5,109.46,57.2,4.47
121,serebryanyy bor,48,RU,1542006211,77,56.8,124.8,23.19,8.34
122,merauke,36,ID,1542006212,56,-8.49,140.4,94.42,13.89
123,vaini,0,IN,1542006080,29,15.34,74.49,90.28,7.34
124,sao filipe,24,CV,1542006212,97,14.9,-24.5,76.69,19.08
125,namibe,0,AO,1542006146,100,-15.19,12.15,75.39,2.08
126,nalut,44,LY,1542006212,97,31.86,10.98,56.89,7.11
127,hammerfest,75,NO,1542003600,80,70.66,23.68,44.6,9.17
128,jinka,8,ET,1542006213,84,5.79,36.57,70.71,2.19
129,hobart,90,AU,1542004200,63,-42.88,147.33,60.8,16.11
130,geraldton,90,CA,1542002400,85,49.72,-86.95,15.8,2.59
131,los llanos de aridane,64,ES,1542004200,77,28.66,-17.92,66.2,2.24
132,haines junction,100,CA,1542006214,96,60.75,-137.51,32.14,3.76
133,neka,75,IR,1542002400,77,36.65,53.3,60.8,4.7
134,severo-kurilsk,64,RU,1542006145,97,50.68,156.12,40.92,10.54
135,lazaro cardenas,68,MX,1542005974,42,28.39,-105.62,57.66,5.99
136,pangnirtung,0,CA,1542006079,98,66.15,-65.72,7.57,9.75
137,khakhea,0,BW,1542006215,25,-24.69,23.5,75.16,14.79
138,linxia,0,CN,1542006027,54,35.6,103.21,45.1,3.04
139,auki,0,NG,1542006215,30,12.18,6.51,59.95,7.34
140,champerico,20,MX,1542006216,91,16.38,-93.6,64.63,2.19
141,san patricio,8,PY,1542006216,70,-26.98,-56.83,76.96,5.77
142,sterling,40,US,1542005760,96,39.0,-77.4,33.08,3.04
143,ketchikan,75,US,1542001980,88,55.34,-131.65,44.96,4.7
144,benghazi,0,LY,1542006217,100,32.12,20.07,71.2,12.15
145,kristinehamn,75,SE,1542003600,100,59.31,14.11,48.2,11.41
146,huanren,0,CN,1542006217,55,41.26,125.37,45.01,3.04
147,torbay,90,CA,1542004260,100,47.66,-52.73,32.0,33.33
148,luanda,0,AO,1542006218,91,-8.83,13.24,77.86,3.38
149,dahanu,0,IN,1542006218,73,19.97,72.73,89.65,5.5
150,kloulklubed,90,PW,1542002100,83,7.04,134.26,80.6,6.93
151,sliven,12,BG,1542006218,80,42.68,26.32,32.41,2.37
152,atuona,76,PF,1542006219,100,-9.8,-139.03,80.56,12.55
153,sola,75,NO,1542003600,87,58.89,5.65,50.0,16.11
154,ilulissat,0,GL,1542001800,65,69.22,-51.1,8.6,9.17
155,hilo,90,US,1542002160,73,19.71,-155.08,73.94,6.93
156,the valley,40,AI,1542002400,83,18.22,-63.06,78.8,10.29
157,yerbogachen,20,RU,1542006220,61,61.28,108.01,-3.05,3.76
158,port lincoln,92,AU,1542006221,60,-34.72,135.86,73.86,3.76
159,san rafael del sur,8,NI,1542006221,68,11.85,-86.44,80.11,9.53
160,beloomut,0,RU,1542006221,83,54.94,39.34,13.69,9.91
161,gat,0,SN,1542002400,73,14.69,-16.54,69.8,2.24
162,victoria point,20,AU,1542004200,53,-27.58,153.3,78.8,17.22
163,vila franca do campo,40,PT,1542004200,67,37.72,-25.43,60.8,5.82
164,paso de carrasco,0,UY,1542002400,88,-34.86,-56.05,68.0,4.7
165,port elizabeth,1,US,1542002160,92,39.31,-74.98,35.96,2.98
166,shimoda,75,JP,1542002700,82,34.7,138.93,69.8,3.36
167,laerdalsoyri,75,NO,1542003600,100,61.1,7.48,41.0,13.87
168,jiblah,0,YE,1542006224,46,13.92,44.15,69.94,1.36
169,santa maria,24,BR,1542006225,69,-29.69,-53.81,70.84,6.4
170,arraial do cabo,48,BR,1542006225,99,-22.97,-42.02,72.28,11.88
171,amnat charoen,0,TH,1542006225,67,15.86,104.63,90.28,2.82
172,odesskoye,76,RU,1542006226,79,54.21,72.97,14.64,16.06
173,coronado,64,PA,1542006226,100,8.53,-79.9,79.57,10.87
174,kruisfontein,20,ZA,1542006149,84,-34.0,24.73,68.01,12.93
175,piacabucu,92,BR,1542006227,93,-10.41,-36.43,74.53,6.22
176,kuryk,92,KZ,1542006227,100,43.18,51.68,41.05,25.19
177,tiarei,20,PF,1542004200,61,-17.53,-149.33,77.0,5.82
178,tashtagol,36,RU,1542006227,47,52.76,87.85,-2.51,3.31
179,saldanha,80,PT,1542006151,100,41.42,-6.55,41.41,3.6
180,visby,90,SE,1542003600,93,57.64,18.3,48.2,14.99
181,saint-joseph,90,FR,1542004200,87,43.56,6.97,59.0,2.24
182,broome,0,GB,1542003600,93,52.47,1.45,51.8,6.93
183,praia da vitoria,40,PT,1542002400,82,38.73,-27.07,59.0,16.8
184,sobolevo,80,RU,1542006230,73,54.43,31.9,28.9,18.59
185,batagay-alyta,0,RU,1542006230,28,67.8,130.41,-20.47,2.82
186,kodiak,90,US,1542001980,72,39.95,-94.76,30.92,11.41
187,inhambane,75,MZ,1542002400,50,-23.87,35.38,78.8,14.99
188,alyangula,12,AU,1542006231,87,-13.85,136.42,88.75,14.16
189,clarksburg,90,US,1542005580,66,39.28,-80.34,33.08,2.26
190,aripuana,44,BR,1542006231,94,-9.17,-60.63,74.35,2.19
191,bambous virieux,20,MU,1542006000,65,-20.34,57.76,82.4,13.87
192,eagle pass,92,MX,1542006231,96,28.71,-100.5,50.86,6.11
193,charters towers,36,AU,1542006232,45,-20.07,146.27,83.94,10.92
194,salalah,20,OM,1542001800,69,17.01,54.1,82.4,3.36
195,mahibadhoo,92,MV,1542006232,100,3.78,72.97,82.59,10.09
196,upernavik,36,GL,1542006023,100,72.79,-56.15,18.37,4.38
197,nizhniy kuranakh,0,RU,1542006233,83,58.84,125.49,20.04,4.09
198,nouakchott,80,MR,1542006233,99,18.08,-15.98,71.65,14.79
199,maragogi,92,BR,1542006233,93,-9.01,-35.22,76.02,5.61
200,vestmannaeyjar,20,IS,1542004620,100,63.44,-20.27,37.4,6.93
201,khatanga,56,RU,1542006235,65,71.98,102.47,-14.3,5.28
202,statesboro,90,US,1542004500,79,32.45,-81.78,53.78,3.36
203,vigrestad,75,NO,1542003600,87,58.57,5.7,50.0,16.11
204,iquique,0,CL,1542002400,63,-20.22,-70.14,66.2,6.93
205,leningradskiy,8,RU,1542006236,100,69.38,178.42,5.64,7.85
206,mana,90,RS,1542004200,84,43.52,20.24,42.8,3.83
207,flinders,0,AU,1542002400,53,-34.58,150.85,73.4,16.11
208,turayf,90,SA,1542002400,100,31.68,38.65,48.2,4.7
209,iquitos,0,PE,1542002400,94,-3.75,-73.25,77.0,3.36
210,simbahan,68,PH,1542006238,100,6.3,120.58,81.42,10.76
211,takoradi,0,GH,1542006238,100,4.89,-1.75,79.21,4.99
212,ahuimanu,75,US,1542002220,71,21.44,-157.84,75.92,10.29
213,hwange,0,ZW,1542002400,31,-18.35,26.5,75.2,18.34
214,pevek,0,RU,1542006239,100,69.7,170.27,-1.57,10.54
215,neiba,64,DO,1542006239,94,18.49,-71.42,68.14,2.08
216,solnechnyy,92,RU,1542006239,90,50.72,136.64,33.49,8.41
217,catuday,0,PH,1542006240,89,16.29,119.81,84.57,6.78
218,gillette,90,US,1542005580,88,44.29,-105.5,17.96,5.82
219,melilla,75,EC,1542002400,88,-0.8,-80.23,75.2,6.93
220,ewa beach,20,US,1542002220,68,21.32,-158.01,75.92,4.7
221,evensk,0,RU,1542006240,100,61.92,159.24,14.91,13.94
222,lompoc,1,US,1542004500,60,34.64,-120.46,50.9,3.71
223,touros,24,BR,1542006241,96,-5.2,-35.46,76.96,12.03
224,shubarkuduk,0,KZ,1542006241,64,49.15,56.49,14.01,8.34
225,narathiwat,20,TH,1542002400,70,6.43,101.8,87.8,8.05
226,srednekolymsk,0,RU,1542006242,36,67.46,153.71,-23.89,2.3
227,antipovka,0,RU,1542006242,77,49.83,45.31,17.34,16.13
228,daru,92,SL,1542006243,95,7.99,-10.85,74.08,3.6
229,mount isa,90,AU,1542004200,30,-20.73,139.49,95.0,8.05
230,dunedin,80,NZ,1542006144,96,-45.87,170.5,52.26,3.31
231,sioni,90,GE,1542004200,93,41.99,45.02,48.2,2.48
232,marabba,0,SD,1542006317,22,12.35,32.18,74.71,7.23
233,haverfordwest,92,GB,1542001800,87,51.8,-4.97,51.8,24.16
234,codrington,0,AU,1542006246,62,-28.95,153.24,71.52,7.78
